餐廳名稱,類型,地區或地址,推薦重點,推薦人,Threads留言URL,來源貼文URL,原留言摘錄
三和夜市新疆乾拌麵,新疆料理,三和夜市,推薦大盤雞麵,torrence_tien,https://www.threads.com/@torrence_tien/post/DbBl_rDkoGx,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,torrence_tien 13小時 1. 三重的台灣蕃薯（賣可頌）。不至於沒吃到會覺得此生枉然的程度，但是已經回訪N次，吃過很多口味，全部都好吃，價格還很實惠。 2. 板橋的小喬新疆羊肉串（大盤雞） 適合小鳥胃： 三和夜市的新疆乾拌麵（大盤雞麵） 中崙市場，索菲亞新疆美食的乾拌麵系列 3. 三和夜市文化北路的趙平米苔目，不是神級美味，但整體很不錯，目前同類的冰店找不到對手
大稻埕米粉湯,米粉湯,大稻埕,推薦豬尾巴,beernbeer,https://www.threads.com/@beernbeer/post/DbAA7w2kQrA,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,beernbeer 1天 大稻埕米粉湯（要吃豬尾巴）
小小樹食,蔬食,台北,蔬食不油膩；各分店菜色略不同,xin_yu_930,https://www.threads.com/@xin_yu_930/post/DbA2y_4D1Fr,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,xin_yu_930 20小時 近期吃小小樹食覺得都蠻驚艷的，可以把蔬食做的不會油膩而且好吃 每間分店的菜色略微不同，可以都體驗看看
小食光製冰所,冰品／甜點,新北投站附近,店家自薦,xiao_shi_guang2024,https://www.threads.com/@xiao_shi_guang2024/post/DbAAoW_FDAb,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,"xiao_shi_guang2024 1天 歡迎來北投，我是在新北投站附近的冰品甜點店-小食光製冰所😊 maps.app.goo.gl/95uYZ… google.com 小食光製冰所 · Zhongyong Village, Beitou District, Taipei City"
小喬新疆羊肉串,新疆料理,板橋,推薦大盤雞,torrence_tien,https://www.threads.com/@torrence_tien/post/DbBl_rDkoGx,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,torrence_tien 13小時 1. 三重的台灣蕃薯（賣可頌）。不至於沒吃到會覺得此生枉然的程度，但是已經回訪N次，吃過很多口味，全部都好吃，價格還很實惠。 2. 板橋的小喬新疆羊肉串（大盤雞） 適合小鳥胃： 三和夜市的新疆乾拌麵（大盤雞麵） 中崙市場，索菲亞新疆美食的乾拌麵系列 3. 三和夜市文化北路的趙平米苔目，不是神級美味，但整體很不錯，目前同類的冰店找不到對手
小器食堂 中山店,日式食堂,中山店,原留言限定中山店,fisher_1210,https://www.threads.com/@fisher_1210/post/DbBZxX9kslK,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,fisher_1210 15小時 小器食堂！（限中山店）
山崎咖啡所,咖啡／司康／牛舌,捷運江子翠站,私藏好店,at1ff2ny_,https://www.threads.com/@at1ff2ny_/post/DbArF2uCQ2a,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,at1ff2ny_ 22小時 板南線捷運江子翠站 山崎咖啡所 @yamazaki.coffee 私藏好店！咖啡司康牛舌我超愛！
川妹子,川菜,,價格實惠；推薦醋溜土豆絲,ab223_,https://www.threads.com/@ab223_/post/DbAtKU5GQJg,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,ab223_ 22小時 一吃再吃的川妹子非常讚！！！ threads.com/@ab22… ab223_ 川妹子 2024-12-4 川妹子 東西好吃價格佛心 三個人緊繃點四道菜就是極限了🤣 愛吃酸的人請把醋溜土豆絲放涼了再吃 會更酸更好吃！！！！！😍
不二家拉麵居酒屋,拉麵／居酒屋,台北市中山區,吃了20年,taiwanduncan,https://www.threads.com/@taiwanduncan/post/DbA_tw3kyN8,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,taiwanduncan 19小時 台北市中山區的不二家拉麵居酒屋，吃了20年，還是好喜歡
中和中正路汕頭麵,汕頭麵,中和中正路,自製麵體；原留言未提供正式店名,mo_er0729,https://www.threads.com/@mo_er0729/post/Da_uG29jyHx,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,mo_er0729 1天 中和中正路裡面的汕頭麵便宜好吃 牆上的畫是老闆女兒親手畫的 超厲害👍 麵體自製的口感跟外面不一樣 乾麵👍
中港蚵仔麵線,蚵仔麵線,新北,料多；稠度與酸度合宜,nana_0809449,https://www.threads.com/@nana_0809449/post/Da_1nVgmaYE,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,nana_0809449 1天 maps.app.goo.gl/b7MiG… 新北 麵線稠度剛好 酸度不用另外加醋 辣椒香不會辣喉嚨 羹底沒有很重的柴魚味 第一次吃料多到我以為老闆娘手滑沒想到之後每次都這麼多 這價位這味道頂級了 臭豆腐就有點一言難盡 google.com 中港蚵仔麵線 · 3.8★(1264) · Deli
云滇,雲南料理,,推薦過橋米線、豌豆粉＋大薄片雙拼、破酥包,simpleminds1012,https://www.threads.com/@simpleminds1012/post/DbAtAaGHza4,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,simpleminds1012 22小時 云滇，推薦過橋米線、豌豆粉+大薄片雙拼、破酥包！
內湖山東餃子館,餃子／小菜,港墘／內湖,小菜與醬料配料大方,olocorgy229,https://www.threads.com/@olocorgy229/post/DbBHUQSmRNB,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,"olocorgy229 18小時 港墘山東餃子館 小菜很爽 醬料配料給得很大方==👍🏼 附近的水煎包也讚 google.com 內湖山東餃子館 · Lishan Village, Neihu District, Taipei City"
六品小館,中菜,,,lai.lai.52,https://www.threads.com/@lai.lai.52/post/DbATwc5mjOZ,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,lai.lai.52 1天 六品小館
天香樓,杭州菜／中菜,,值得細細品味,yao890514,https://www.threads.com/@yao890514/post/DbBU8iKmVYm,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,yao890514 16小時 天香樓值得細細品味
天鍋宴,火鍋／海鮮,台北東區,海鮮選擇多，附甜品冰淇淋吃到飽,charlie__0801,https://www.threads.com/@charlie__0801/post/DbBVq5XCXC8,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,charlie__0801 16小時 喜歡吃海鮮的去吃天鍋宴（火鍋） 超多海鮮選擇+肉盤不到1000 還有甜品冰淇淋吃到飽！！
夫妻肺片麻辣鍋,麻辣鍋,台北市,從小吃到大,hnywg,https://www.threads.com/@hnywg/post/DbBDF-_k_ib,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,hnywg 18小時 從小吃到大的：台北市圍爐酸菜白肉火鍋、夫妻肺片麻辣鍋、橋頭麻辣鍋、七輪燒肉 最近愛上的一品蔬菜羊肉爐、麻皇麻辣火鍋、AJIMI、鰭狄日式阪前、萬豪欣葉鍾菜（比一般欣葉好吃） 南港中信享鮮餐廳的海鮮（肉類普遍不行）
心潮仙宮,中菜,,適合帶外國朋友,atm_tseng,https://www.threads.com/@atm_tseng/post/DbARPAmFGvF,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,atm_tseng 1天 漢來湯包 FOCOSO（非常適合約會的義大利餐廳） 三味麵食（一定要吃雙醬麵） 心潮仙宮（外國朋友來都帶去吃） Wok by Obond (大中華料理Fine Dining)
日海,,,,jimmyending,https://www.threads.com/@jimmyending/post/Da-vrgBD6a9,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,jimmyending 1天 日海
仙客來熱炒,熱炒,陽明大學附近,,amy_chang_1202,https://www.threads.com/@amy_chang_1202/post/Da_NDTbEqmB,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,amy_chang_1202 1天 陽明大學附近的仙客來熱炒～😋
兄弟飯店 2F 推車飲茶,港式飲茶,兄弟飯店2樓,,bibbeloque,https://www.threads.com/@bibbeloque/post/DbAoxifEYht,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,bibbeloque 22小時 兄弟飯店2f推車飲茶
北村豆腐鍋,韓式豆腐鍋,,平價愛店,uniaviona,https://www.threads.com/@uniaviona/post/DbAZwVwidBg,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,uniaviona 1天 我最愛評價的北村豆腐鍋 客多美日式咖啡廳 你知道我為什麼不齒下說嗎 因為我想留存這篇
北港龍門生炒鴨肉羹,鴨肉羹,三重,,sunnytsengsunny,https://www.threads.com/@sunnytsengsunny/post/DbBi-z1GPez,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,sunnytsengsunny 14小時 三重北港龍門生炒鴨肉羹
半畝園,大滷麵／麵食,,回訪近5年,lawyermom1984,https://www.threads.com/@lawyermom1984/post/DbBcvVUk0Eb,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,lawyermom1984 15小時 半畝園大滷麵。 小孩在附近上帶狀課，已經吃了快5年，為母我幾乎每次下課都去吃，吃到小孩生氣😆
台灣蕃薯,可頌,三重,多種口味、價格實惠,torrence_tien,https://www.threads.com/@torrence_tien/post/DbBl_rDkoGx,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,torrence_tien 13小時 1. 三重的台灣蕃薯（賣可頌）。不至於沒吃到會覺得此生枉然的程度，但是已經回訪N次，吃過很多口味，全部都好吃，價格還很實惠。 2. 板橋的小喬新疆羊肉串（大盤雞） 適合小鳥胃： 三和夜市的新疆乾拌麵（大盤雞麵） 中崙市場，索菲亞新疆美食的乾拌麵系列 3. 三和夜市文化北路的趙平米苔目，不是神級美味，但整體很不錯，目前同類的冰店找不到對手
永春市場雞翅（店名未明）,雞翅／小吃,永春市場,原留言未提供正式店名,7orange__,https://www.threads.com/@7orange__/post/DbBvHJzk8Py,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,7orange__ 12小時 永春市場的雞翅
石二鍋 後山埤店,火鍋,後山埤,味道與品控穩定,momo880603,https://www.threads.com/@momo880603/post/DbAbhWBAcba,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,momo880603 1天 應該能算好吃的吃過很多... 認真講是後山埤石二鍋 一模一樣的味道其實對餐廳來說不簡單 旭集吃過大概十次 可是其實就連一樣的甜點都會有不一樣的味道 這家石二鍋看著一般但這個品控很可以 就連蠻喜歡也是吃過n次的游壽司 可能都點炙燒，味道就會有些許差異
石撈麻辣火鍋,麻辣火鍋,台北市中山區,,bluebless0913,https://www.threads.com/@bluebless0913/post/DbAWpFnGp9w,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,bluebless0913 1天 中山區 石撈麻辣火鍋
合家北安素食點心坊,素食點心,大直北安路,,pcwinpei,https://www.threads.com/@pcwinpei/post/DbAl981kzaM,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,pcwinpei 23小時 推！ 合家北安素食點心坊 📍大直北安路上
吉富,生魚片丼飯,台北六張犁,推薦焦糖鮭魚、小吉丼；回訪20次以上,lilyliketoeat,https://www.threads.com/@lilyliketoeat/post/DbBMiyTE3V1,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,lilyliketoeat 17小時 生魚片我心中NO.1(應該有吃超過20次以上） threads.com/@lily… lilyliketoeat 生魚片 2025-11-23 台北我最喜ㄉ生魚片丼飯！ 每次必點焦糖鮭魚、小吉丼 很厚很鮮甜 （干貝是加點 ） 📍吉富 （在台北六張犁）
如嬌花膠雞,花膠雞,,,walo.wu,https://www.threads.com/@walo.wu/post/DbAlkttiZ4k,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,walo.wu 23小時 發肉燒肉 如嬌花膠雞
弎弎川酒,川菜／川酒,,推薦者吃過4次,umbrella__lin,https://www.threads.com/@umbrella__lin/post/DbBtupHEkUu,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,umbrella__lin 12小時 弎弎川酒 吃了4次 朋友被我燒到也自己帶朋友去吃了好幾次😂
旭集,自助餐,,回訪約10次,momo880603,https://www.threads.com/@momo880603/post/DbAbhWBAcba,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,momo880603 1天 應該能算好吃的吃過很多... 認真講是後山埤石二鍋 一模一樣的味道其實對餐廳來說不簡單 旭集吃過大概十次 可是其實就連一樣的甜點都會有不一樣的味道 這家石二鍋看著一般但這個品控很可以 就連蠻喜歡也是吃過n次的游壽司 可能都點炙燒，味道就會有些許差異
羊成小館,粵菜,華山文創對面,推薦芋泥鴨、京都排骨、椒鹽劍蝦；價格合理,wang_yuanx2,https://www.threads.com/@wang_yuanx2/post/Da-eHL0D5Kk,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,wang_yuanx2 1天 羊成小館，老牌粵菜館，芋泥鴨，京都排骨，椒鹽劍蝦...價錢合理味道好，位置在華山文創對面
老四川,麻辣鍋,台北,吃了10年,catrinaiana,https://www.threads.com/@catrinaiana/post/DbBg6lCE-1C,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,catrinaiana 14小時 麻辣鍋老四川一生推 已經吃十年了 從高雄吃到台北🙂‍↕️🙂‍↕️
老位川酒,川菜,,,y__o6o4,https://www.threads.com/@y__o6o4/post/DbCUTpgASeC,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,y__o6o4 6小時 川菜：老位川酒 江浙菜：人間半醒 湘菜：湘八老 上海菜：葉公館 火鍋：蔣老爹愛吃鍋 義大利麵：李氏、章邖 居酒屋：東京系列（東京煙火氣、東京酒食製作所…） 燒肉：阿叔燒肉 中菜：招治飯店 韓式：李上
自自,甜點,台北,推薦者稱已回訪99次,taste_buds_pursue_allen,https://www.threads.com/@taste_buds_pursue_allen/post/Da-e3itk29m,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,臺北回訪最多的甜點店，目前已經99訪
西門町韓式豆腐鍋（店名未明）,韓式豆腐鍋,西門站6號出口,原留言未提供正式店名,winnie091988,https://www.threads.com/@winnie091988/post/DbAiI2yk8at,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,winnie091988 23小時 西門町韓式豆腐鍋六號出口出來就到了
初涼冰室,雪花冰,通化夜市,每種雪花冰都好吃,bananacatlibra,https://www.threads.com/@bananacatlibra/post/Da_8OUJkxP4,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,bananacatlibra 1天 通化夜市的初涼冰室~每一種雪花冰都好好吃 （酒是自己帶的加進去啦！）
巫雲,,,尤其推薦夏天去,kw_henry_feng,https://www.threads.com/@kw_henry_feng/post/DbBkmscgW4v,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,kw_henry_feng 13小時 巫雲一生推，尤其是夏天
李上,韓式,,,y__o6o4,https://www.threads.com/@y__o6o4/post/DbCUTpgASeC,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,y__o6o4 6小時 川菜：老位川酒 江浙菜：人間半醒 湘菜：湘八老 上海菜：葉公館 火鍋：蔣老爹愛吃鍋 義大利麵：李氏、章邖 居酒屋：東京系列（東京煙火氣、東京酒食製作所…） 燒肉：阿叔燒肉 中菜：招治飯店 韓式：李上
李氏,義大利麵,,,y__o6o4,https://www.threads.com/@y__o6o4/post/DbCUTpgASeC,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,y__o6o4 6小時 川菜：老位川酒 江浙菜：人間半醒 湘菜：湘八老 上海菜：葉公館 火鍋：蔣老爹愛吃鍋 義大利麵：李氏、章邖 居酒屋：東京系列（東京煙火氣、東京酒食製作所…） 燒肉：阿叔燒肉 中菜：招治飯店 韓式：李上
李記溫州大餛飩,餛飩／小吃,新莊,30多年老店；大顆餛飩,dongandwilliam,https://www.threads.com/@dongandwilliam/post/DbAjn-LEzgl,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,dongandwilliam 23小時 / 從國小吃到出社會結婚還在吃 老闆都交棒給下一代，店面都擴大了還是會去吃 dongandwilliam.tw 新莊超過30多年老店，超大顆餛飩扎實肉餡，Dong的口袋名單-李記溫州大餛飩 @D&W黑白雙搭
李歡喜,雞湯火鍋,,清爽不油膩；火鍋料經過挑選,do.ob886,https://www.threads.com/@do.ob886/post/DbBoeAlkx2w,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,do.ob886 13小時 當然非李歡喜不可👍👍 清雞湯鍋底，雞味足，吃完仍覺一身清爽，不像其他火鍋一樣油膩。而且火鍋料我覺得特別挑過，比外面好吃非常多 @chickenpot.tw
牡丹,,,,vance0624,https://www.threads.com/@vance0624/post/Da-VyfGkv7x,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,vance0624 1天 牡丹
秀蘭小館,中菜,永康街,雞湯很棒,hnywg,https://www.threads.com/@hnywg/post/DbCjK0Bk_VK,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,hnywg 4小時 還有永康街的秀蘭小館，雞湯超棒
私廚房,蔬食,天母,推薦優格時蔬拌麵,sherryplace,https://www.threads.com/@sherryplace/post/DbCgFilEnLU,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,sherryplace 5小時 天母蔬食餐廳「私廚房」 優格時蔬拌麵👍
足立,,,,heather.chen0216,https://www.threads.com/@heather.chen0216/post/Da-iQkhk2xu,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,heather.chen0216 1天 足立 翻譯
里歐帕朵比薩＆義大利麵,披薩／義大利麵,大直,建議提前訂位,yumiou,https://www.threads.com/@yumiou/post/DbAyJqWGcKP,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,yumiou 21小時 大直里歐帕朵比薩&義大利麵，懂食材的人一吃一定可以感受到主廚的用心，但一定要提前訂位
京月香,,酒泉街,,chingchangtw,https://www.threads.com/@chingchangtw/post/DbAwhqaj2S0,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,chingchangtw 21小時 酒泉街 京月香
咔豬,炸豬排,北投區唭哩岸站步行2分鐘,店家自薦,katsu.tw,https://www.threads.com/@katsu.tw/post/DbAtn8SEY9l,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,katsu.tw 21小時 怎麼可以少了我 這裡是位在唭哩岸捷運站步行兩分鐘/北投區的豬排專賣店「咔豬」。 天氣開始熱了！ 夏天熱到沒胃口？酥脆多汁的炸豬排，一口下去食慾全開，爽快又滿足！ 誠心期待各位的光臨。
招治飯店,中菜,,,y__o6o4,https://www.threads.com/@y__o6o4/post/DbCUTpgASeC,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,y__o6o4 6小時 川菜：老位川酒 江浙菜：人間半醒 湘菜：湘八老 上海菜：葉公館 火鍋：蔣老爹愛吃鍋 義大利麵：李氏、章邖 居酒屋：東京系列（東京煙火氣、東京酒食製作所…） 燒肉：阿叔燒肉 中菜：招治飯店 韓式：李上
東京油組拉麵,油麵／拉麵,,,dodoyen,https://www.threads.com/@dodoyen/post/Da_tRS4kwRX,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,dodoyen 1天 東京油組拉麵🍜
東京酒食製作所,居酒屋,,,y__o6o4,https://www.threads.com/@y__o6o4/post/DbCUTpgASeC,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,y__o6o4 6小時 川菜：老位川酒 江浙菜：人間半醒 湘菜：湘八老 上海菜：葉公館 火鍋：蔣老爹愛吃鍋 義大利麵：李氏、章邖 居酒屋：東京系列（東京煙火氣、東京酒食製作所…） 燒肉：阿叔燒肉 中菜：招治飯店 韓式：李上
東京煙火氣,居酒屋,,,y__o6o4,https://www.threads.com/@y__o6o4/post/DbCUTpgASeC,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,y__o6o4 6小時 川菜：老位川酒 江浙菜：人間半醒 湘菜：湘八老 上海菜：葉公館 火鍋：蔣老爹愛吃鍋 義大利麵：李氏、章邖 居酒屋：東京系列（東京煙火氣、東京酒食製作所…） 燒肉：阿叔燒肉 中菜：招治飯店 韓式：李上
東越河粉福州乾麵,越南河粉／福州乾麵,,推薦蛋黃麵；份量大、上餐快,michellet0206,https://www.threads.com/@michellet0206/post/DbBdihZExjB,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,michellet0206 14小時 這家的蛋黃麵是我吃過最好吃的、而且只要160！ 心情不好就會來吃😋 maps.app.goo.gl/Q1XYW… 阿姨人超好😍超大一碗只要150、上餐速度超快 maps.app.goo.gl/yXsac… google.com 東越河粉福州乾麵 · 4.6★(57) · Restaurant
東豐東,火鍋,,,wildbrier,https://www.threads.com/@wildbrier/post/Da-sdpgEkOb,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,wildbrier 1天 東豐東（火鍋）
武田咖哩,咖哩,,咖哩愛好者推薦,zoe.ferng,https://www.threads.com/@zoe.ferng/post/DbBCYX0kTHm,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,zoe.ferng 18小時 身為咖哩愛好者 只能推武田咖哩了💗 真的超喜歡 咖哩界必吃
沾美西餐廳,西餐,,,ginny_220,https://www.threads.com/@ginny_220/post/Da-aEJCki60,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,ginny_220 1天 沾美西餐廳
法柏纖盒,健康餐盒／便當,,推薦骰子牛,ann_bula,https://www.threads.com/@ann_bula/post/DbAUr_4E36n,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,ann_bula 1天 便當可以嗎 法柏纖盒-骰子牛!!!
牧山丘 muhills,義式料理,台北市大同區迪化街一段173號,12:00–21:00,huahuatsao,https://www.threads.com/@huahuatsao/post/Da_rui4k7Sf,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,huahuatsao 1天 歡迎用餐🍽️ 好美😍更好吃😋 讓外國朋友也稱讚的義式料理👍 牧山丘muhills reurl.cc/ax9Np… 地址｜台北市大同區迪化街一段173號 捷運｜大橋頭/ 北門站 時間｜12:00-21:00 電話｜02-25578938
芝鄉涼麵,涼麵,,,shanyishun,https://www.threads.com/@shanyishun/post/DbCbagEAZ-7,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,shanyishun 5小時 直接上地圖 maps.app.goo.gl/J4A8s… google.com 芝鄉涼麵 · 4.2★(1510) · Cold noodle restaurant
花娘小館,中菜,,推薦蒼蠅頭、肋排,linyanhwei,https://www.threads.com/@linyanhwei/post/DbBaJK6k7e5,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,linyanhwei 15小時 推薦花娘小館，蒼蠅頭，肋排都很棒
芸妞妞米干,米干／小吃,,回訪10幾次,shuwei.l,https://www.threads.com/@shuwei.l/post/Da-xNV0iRED,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,shuwei.l 1天 maps.app.goo.gl/bdEzD… 來點不一樣的芸妞妞，被同事推薦之後，已經回訪10幾次 google.com 芸妞妞米干 · 4.6★(70) · Snack bar
金月-日本鍋料理擔當,高級日式火鍋,,清酒入湯；氣氛佳,dollars_official_tw,https://www.threads.com/@dollars_official_tw/post/DbDDGffCVJ6,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,dollars_official_tw 10分鐘 金月鍋物！ 高級日式火鍋，招牌清酒入湯，氣氛感也滿滿❤️ maps.app.goo.gl/k32LQ… google.com 金月-日本鍋料理擔當 · 4.7★(191) · Hot pot restaurant
金奇雞專業脆皮炸雞,炸雞,新北市三重區慈愛街48號,經濟實惠；外皮酥脆,sabrinanirdas,https://www.threads.com/@sabrinanirdas/post/DbBauamjyrs,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,sabrinanirdas 15小時 這家是我目前在雙北吃過最經濟實惠的炸雞 雞翅7隻100元而且不是小隻的那種 吃起來皮酥脆肉也不乾柴 📍 金奇雞專業脆皮炸雞：三重區慈愛街48號 @shut_up_and_eat_golden_g
金蓬萊,台菜,巷弄／台北,吃完會想回訪,stocktalk_tw,https://www.threads.com/@stocktalk_tw/post/DbBLFp6gcyW,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,stocktalk_tw 17小時 無此類文我先想到金蓬萊那種藏在巷子裡的台菜，吃完真的會一直想回訪哈哈
金雞園,中菜／小吃,,味道多年穩定,jeromesung,https://www.threads.com/@jeromesung/post/DbA-mH-lbKc,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,jeromesung 19小時 金雞園、高記、誠記（越南麵食）、趙記（菜肉餛吞） 這幾家符合我的40年味道不變的基本原則 排骨飯跟牛肉麵各有一家N刷，主要也是因為他們40年沒有改變味道是我的重點，這兩項最容易有人硬要放「那家不好吃這家才好吃」 的留言就算了不放
阿玉水餃,生水餃,,店家只賣生水餃，需自煮,ro23247,https://www.threads.com/@ro23247/post/DbA3_ucFF4P,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,ro23247 20小時 阿玉水餃 只是要自己煮，店家只賣生水餃
阿伯蛋包麵,蛋包麵,,,brianchen_1114,https://www.threads.com/@brianchen_1114/post/DbAt9CRlCms,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,brianchen_1114 21小時 阿伯蛋包麵
阿里小廚,,永和樂華外,由 Daddy 廚房分家,_nnnnnnnora_,https://www.threads.com/@_nnnnnnnora_/post/Da_ythikwZk,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,_nnnnnnnora_ 1天 阿里小廚 永和樂華外面 原本的daddy廚房分家出來的
阿叔燒肉,燒肉,,,y__o6o4,https://www.threads.com/@y__o6o4/post/DbCUTpgASeC,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,y__o6o4 6小時 川菜：老位川酒 江浙菜：人間半醒 湘菜：湘八老 上海菜：葉公館 火鍋：蔣老爹愛吃鍋 義大利麵：李氏、章邖 居酒屋：東京系列（東京煙火氣、東京酒食製作所…） 燒肉：阿叔燒肉 中菜：招治飯店 韓式：李上
青沐,,中山,,fang_yu_158,https://www.threads.com/@fang_yu_158/post/DbAt5JElAIO,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,fang_yu_158 21小時 感覺青沐不錯 在中山
南港中信享鮮餐廳,海鮮／自助餐,南港中信,推薦海鮮；留言稱肉類較弱,hnywg,https://www.threads.com/@hnywg/post/DbBDF-_k_ib,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,hnywg 18小時 從小吃到大的：台北市圍爐酸菜白肉火鍋、夫妻肺片麻辣鍋、橋頭麻辣鍋、七輪燒肉 最近愛上的一品蔬菜羊肉爐、麻皇麻辣火鍋、AJIMI、鰭狄日式阪前、萬豪欣葉鍾菜（比一般欣葉好吃） 南港中信享鮮餐廳的海鮮（肉類普遍不行）
品冠客家小館,客家菜,,,__dinosaur_girl__,https://www.threads.com/@__dinosaur_girl__/post/DbBfoNYE3xT,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,__dinosaur_girl__ 14小時 雲之南 品冠客家小館
客多美日式咖啡廳,咖啡廳,,,uniaviona,https://www.threads.com/@uniaviona/post/DbAZwVwidBg,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,uniaviona 1天 我最愛評價的北村豆腐鍋 客多美日式咖啡廳 你知道我為什麼不齒下說嗎 因為我想留存這篇
建一食堂,食堂,八德路,,vivi_072088,https://www.threads.com/@vivi_072088/post/DbCvdphjwFY,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,vivi_072088 3小時 在八德路的建一食堂👍
星海食事所,,台北東區,位子少，建議預約,qwer0318,https://www.threads.com/@qwer0318/post/DbBZjlomRXE,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,qwer0318 15小時 我們超愛吃這間的，已經帶了兩位朋友去吃了❤️ 台北東區：星海食事所 記得預約喔因為有時候突然滿人，位子很少
美觀園 36號本舖,日式料理,西門町,創始老店；推薦海蜇皮與自製美乃滋,mingshan_wu,https://www.threads.com/@mingshan_wu/post/DbBlyCukvlw,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,mingshan_wu 13小時 西門町 美觀園 36號本舖 真的是美道都好吃 那兒有兩家 要注意是（36號本舖）那家才是創始老店 推海蜇皮、還有美乃滋ㄧ定要試！ 美乃滋都是老闆自己做的
胃太小私房菜,私房菜,,,arielchenxo,https://www.threads.com/@arielchenxo/post/Da-uPj3k0wG,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,arielchenxo 1天 胃太小私房菜😍😍😍
